LGA,crimes
Alpine,285
Ararat,809
Ballarat,8147
Banyule,5419
Bass Coast,1632
Baw Baw,1644
Bayside,2827
Benalla,752
Boroondara,5228
Brimbank,14224
Buloke,265
Campaspe,1846
Cardinia,3300
Casey,11040
Central Goldfields,758
Colac-Otway,1092
Corangamite,543
Darebin,9347
East Gippsland,2559
Frankston,9286
Gannawarra,501
Glen Eira,4389
Glenelg,1280
Golden Plains,296
Greater Bendigo,4940
Greater Dandenong,10948
Greater Geelong,12532
Greater Shepparton,4875
Hepburn,517
Hindmarsh,158
Hobsons Bay,4606
Horsham,1303
Hume,10932
Indigo,361
Kingston,6844
Knox,6058
Latrobe,6781
Loddon,312
Macedon Ranges,1192
Manningham,2735
Mansfield,264
Maribyrnong,7000
Maroondah,4799
Melbourne,24187
Melton,5873
Mildura,4698
Mitchell,1853
Moira,1126
Monash,6630
Moonee Valley,5992
Moorabool,1108
Moreland,8751
Mornington Peninsula,7113
Mount Alexander,715
Moyne,433
Murrindindi,440
Nillumbik,1425
Northern Grampians,824
Port Phillip,8269
Justice Institutions And Immigration Facilities,691
Pyrenees,223
Queenscliffe,92
South Gippsland,851
Southern Grampians,847
Stonnington,6801
Strathbogie,345
Surf Coast,980
Swan Hill,1345
Towong,162
Unincorporated Vic,138
Wangaratta,1683
Warrnambool,1820
Wellington,2363
West Wimmera,90
Whitehorse,5214
Whittlesea,8455
Wodonga,2347
Wyndham,9293
Yarra,8733
Yarra Ranges,4892
Yarriambiack,263
