LGA,unemployed
Alpine,336
Ararat,902
Ballarat,8189
Banyule,5937
Bass Coast,1821
Baw Baw,2210
Bayside,3454
Benalla,815
Boroondara,5984
Brimbank,15486
Buloke,192
Campaspe,2265
Cardinia,4262
Casey,12151
Central Goldfields,828
Colac-Otway,1038
Corangamite,446
Darebin,9231
East Gippsland,3037
Frankston,10860
Gannawarra,420
Glen Eira,4725
Glenelg,1138
Golden Plains,392
Greater Bendigo,5859
Greater Dandenong,12509
Greater Geelong,13735
Greater Shepparton,5037
Hepburn,554
Hindmarsh,202
Hobsons Bay,5560
Horsham,1307
Hume,11735
Indigo,348
Kingston,7259
Knox,6716
Latrobe,7640
Loddon,271
Macedon Ranges,1364
Manningham,2890
Mansfield,288
Maribyrnong,7003
Maroondah,5246
Melbourne,24604
Melton,6743
Mildura,4503
Mitchell,1929
Moira,1032
Monash,6735
Moonee Valley,6337
Moorabool,1496
Moreland,9028
Mornington Peninsula,7214
Mount Alexander,643
Moyne,410
Murrindindi,506
Nillumbik,1587
Northern Grampians,687
Port Phillip,9147
Justice Institutions And Immigration Facilities,980
Pyrenees,272
Queenscliffe,86
South Gippsland,939
Southern Grampians,865
Stonnington,7370
Strathbogie,377
Surf Coast,1034
Swan Hill,1373
Towong,186
Unincorporated Vic,69
Wangaratta,1662
Warrnambool,1909
Wellington,2843
West Wimmera,132
Whitehorse,5824
Whittlesea,9539
Wodonga,2302
Wyndham,9916
Yarra,8934
Yarra Ranges,4981
Yarriambiack,223
