LGA,crimes
Alpine,311
Ararat,902
Ballarat,8164
Banyule,6043
Bass Coast,1805
Baw Baw,2035
Bayside,3583
Benalla,756
Boroondara,5802
Brimbank,14962
Buloke,226
Campaspe,2138
Cardinia,3685
Casey,11256
Central Goldfields,699
Colac-Otway,1187
Corangamite,533
Darebin,9910
East Gippsland,2538
Frankston,10047
Gannawarra,395
Glen Eira,4673
Glenelg,1086
Golden Plains,372
Greater Bendigo,5514
Greater Dandenong,11488
Greater Geelong,13024
Greater Shepparton,4908
Hepburn,556
Hindmarsh,205
Hobsons Bay,5711
Horsham,1364
Hume,11710
Indigo,374
Kingston,7305
Knox,6605
Latrobe,7231
Loddon,335
Macedon Ranges,1260
Manningham,3027
Mansfield,259
Maribyrnong,7517
Maroondah,5130
Melbourne,24312
Melton,6801
Mildura,4441
Mitchell,1923
Moira,1168
Monash,6400
Moonee Valley,6802
Moorabool,1263
Moreland,9659
Mornington Peninsula,7222
Mount Alexander,658
Moyne,583
Murrindindi,454
Nillumbik,1467
Northern Grampians,690
Port Phillip,8425
Justice Institutions And Immigration Facilities,774
Pyrenees,230
Queenscliffe,107
South Gippsland,900
Southern Grampians,792
Stonnington,7287
Strathbogie,356
Surf Coast,1169
Swan Hill,1379
Towong,204
Unincorporated Vic,106
Wangaratta,1698
Warrnambool,1878
Wellington,2578
West Wimmera,132
Whitehorse,5406
Whittlesea,9737
Wodonga,2587
Wyndham,10982
Yarra,9274
Yarra Ranges,5081
Yarriambiack,307
