LGA,crimes
Alpine,277
Ararat,895
Ballarat,9207
Banyule,7275
Bass Coast,2028
Baw Baw,2892
Bayside,4259
Benalla,989
Boroondara,6777
Brimbank,15362
Buloke,170
Campaspe,2765
Cardinia,5335
Casey,17341
Central Goldfields,979
Colac-Otway,1313
Corangamite,633
Darebin,12985
East Gippsland,3185
Frankston,11936
Gannawarra,468
Glen Eira,5579
Glenelg,1349
Golden Plains,639
Greater Bendigo,7354
Greater Dandenong,15131
Greater Geelong,19098
Greater Shepparton,6147
Hepburn,676
Hindmarsh,224
Hobsons Bay,5492
Horsham,1825
Hume,17044
Indigo,346
Kingston,8465
Knox,8529
Latrobe,10099
Loddon,378
Macedon Ranges,1603
Manningham,3760
Mansfield,466
Maribyrnong,7330
Maroondah,6473
Melbourne,27316
Melton,9134
Mildura,5023
Mitchell,3110
Moira,1235
Monash,8699
Moonee Valley,7660
Moorabool,1888
Moreland,12159
Mornington Peninsula,8990
Mount Alexander,979
Moyne,448
Murrindindi,551
Nillumbik,2154
Northern Grampians,919
Port Phillip,10355
Justice Institutions And Immigration Facilities,853
Pyrenees,400
Queenscliffe,160
South Gippsland,1043
Southern Grampians,960
Stonnington,8976
Strathbogie,462
Surf Coast,1164
Swan Hill,1666
Towong,190
Unincorporated Vic,115
Wangaratta,1765
Warrnambool,2397
Wellington,3215
West Wimmera,112
Whitehorse,5903
Whittlesea,12569
Wodonga,2503
Wyndham,12577
Yarra,11135
Yarra Ranges,6309
Yarriambiack,336
