LGA,unemployed
Alpine,344
Ararat,868
Ballarat,8617
Banyule,7036
Bass Coast,1890
Baw Baw,2397
Bayside,3425
Benalla,734
Boroondara,5653
Brimbank,14724
Buloke,199
Campaspe,2317
Cardinia,4394
Casey,14626
Central Goldfields,834
Colac-Otway,1128
Corangamite,458
Darebin,11035
East Gippsland,3075
Frankston,10928
Gannawarra,416
Glen Eira,4742
Glenelg,1296
Golden Plains,535
Greater Bendigo,6197
Greater Dandenong,13159
Greater Geelong,14909
Greater Shepparton,5523
Hepburn,552
Hindmarsh,147
Hobsons Bay,5298
Horsham,1957
Hume,14355
Indigo,350
Kingston,7674
Knox,7227
Latrobe,8780
Loddon,299
Macedon Ranges,1472
Manningham,3301
Mansfield,320
Maribyrnong,6644
Maroondah,5889
Melbourne,24692
Melton,7961
Mildura,4544
Mitchell,2495
Moira,1104
Monash,7186
Moonee Valley,6791
Moorabool,1564
Moreland,10814
Mornington Peninsula,7783
Mount Alexander,684
Moyne,416
Murrindindi,499
Nillumbik,1855
Northern Grampians,775
Port Phillip,9501
Justice Institutions And Immigration Facilities,696
Pyrenees,350
Queenscliffe,121
South Gippsland,925
Southern Grampians,750
Stonnington,7548
Strathbogie,321
Surf Coast,1014
Swan Hill,1642
Towong,142
Unincorporated Vic,95
Wangaratta,1605
Warrnambool,2141
Wellington,2906
West Wimmera,81
Whitehorse,5839
Whittlesea,10115
Wodonga,2555
Wyndham,10873
Yarra,9786
Yarra Ranges,5261
Yarriambiack,270
