LGA,unemployed
Alpine,374
Ararat,953
Ballarat,8136
Banyule,7212
Bass Coast,1616
Baw Baw,3079
Bayside,3818
Benalla,900
Boroondara,5547
Brimbank,14512
Buloke,174
Campaspe,2648
Cardinia,4420
Casey,15179
Central Goldfields,1003
Colac-Otway,1240
Corangamite,566
Darebin,11530
East Gippsland,3188
Frankston,11099
Gannawarra,464
Glen Eira,4979
Glenelg,1080
Golden Plains,506
Greater Bendigo,7367
Greater Dandenong,13970
Greater Geelong,16011
Greater Shepparton,6182
Hepburn,646
Hindmarsh,250
Hobsons Bay,4747
Horsham,1624
Hume,15638
Indigo,335
Kingston,8220
Knox,8118
Latrobe,9906
Loddon,368
Macedon Ranges,1617
Manningham,3483
Mansfield,326
Maribyrnong,6982
Maroondah,5724
Melbourne,27460
Melton,8033
Mildura,5319
Mitchell,3011
Moira,1505
Monash,8275
Moonee Valley,6855
Moorabool,1748
Moreland,11541
Mornington Peninsula,8115
Mount Alexander,670
Moyne,392
Murrindindi,550
Nillumbik,1638
Northern Grampians,753
Port Phillip,9955
Justice Institutions And Immigration Facilities,1448
Pyrenees,340
Queenscliffe,94
South Gippsland,996
Southern Grampians,1126
Stonnington,8249
Strathbogie,454
Surf Coast,862
Swan Hill,1813
Towong,181
Unincorporated Vic,96
Wangaratta,1745
Warrnambool,2743
Wellington,2718
West Wimmera,120
Whitehorse,6281
Whittlesea,11930
Wodonga,2420
Wyndham,11173
Yarra,11359
Yarra Ranges,5536
Yarriambiack,352
