LGA,crimes
Alpine,368
Ararat,712
Ballarat,8037
Banyule,5791
Bass Coast,1899
Baw Baw,1815
Bayside,3294
Benalla,846
Boroondara,6107
Brimbank,12657
Buloke,168
Campaspe,2007
Cardinia,3320
Casey,11478
Central Goldfields,740
Colac-Otway,1056
Corangamite,584
Darebin,9844
East Gippsland,2633
Frankston,10149
Gannawarra,437
Glen Eira,5053
Glenelg,1263
Golden Plains,328
Greater Bendigo,4934
Greater Dandenong,10572
Greater Geelong,12051
Greater Shepparton,4123
Hepburn,525
Hindmarsh,141
Hobsons Bay,4813
Horsham,1327
Hume,9909
Indigo,366
Kingston,7875
Knox,7033
Latrobe,6011
Loddon,321
Macedon Ranges,1287
Manningham,3278
Mansfield,384
Maribyrnong,6786
Maroondah,5456
Melbourne,25274
Melton,4840
Mildura,3831
Mitchell,1635
Moira,998
Monash,7267
Moonee Valley,6086
Moorabool,1060
Moreland,8240
Mornington Peninsula,6947
Mount Alexander,657
Moyne,379
Murrindindi,573
Nillumbik,1562
Northern Grampians,778
Port Phillip,9077
Justice Institutions And Immigration Facilities,476
Pyrenees,252
Queenscliffe,137
South Gippsland,947
Southern Grampians,701
Stonnington,7517
Strathbogie,366
Surf Coast,1182
Swan Hill,1633
Towong,166
Unincorporated Vic,188
Wangaratta,1382
Warrnambool,2007
Wellington,2468
West Wimmera,96
Whitehorse,5855
Whittlesea,7836
Wodonga,1908
Wyndham,7049
Yarra,9654
Yarra Ranges,5064
Yarriambiack,213
