LGA,unemployed
Alpine,294
Ararat,953
Ballarat,9330
Banyule,7461
Bass Coast,2071
Baw Baw,2764
Bayside,3743
Benalla,974
Boroondara,6260
Brimbank,13297
Buloke,154
Campaspe,2616
Cardinia,4692
Casey,16303
Central Goldfields,868
Colac-Otway,1522
Corangamite,810
Darebin,11951
East Gippsland,2926
Frankston,11396
Gannawarra,507
Glen Eira,5553
Glenelg,1324
Golden Plains,523
Greater Bendigo,7619
Greater Dandenong,14201
Greater Geelong,17118
Greater Shepparton,5941
Hepburn,652
Hindmarsh,275
Hobsons Bay,4941
Horsham,1626
Hume,15460
Indigo,379
Kingston,8012
Knox,8917
Latrobe,9533
Loddon,303
Macedon Ranges,1649
Manningham,3821
Mansfield,526
Maribyrnong,6535
Maroondah,6566
Melbourne,26631
Melton,8349
Mildura,4964
Mitchell,3137
Moira,1525
Monash,8451
Moonee Valley,6899
Moorabool,1877
Moreland,10799
Mornington Peninsula,8804
Mount Alexander,826
Moyne,514
Murrindindi,543
Nillumbik,2024
Northern Grampians,881
Port Phillip,9917
Justice Institutions And Immigration Facilities,1306
Pyrenees,357
Queenscliffe,130
South Gippsland,1085
Southern Grampians,995
Stonnington,8075
Strathbogie,445
Surf Coast,1036
Swan Hill,1757
Towong,170
Unincorporated Vic,113
Wangaratta,1857
Warrnambool,2696
Wellington,2944
West Wimmera,137
Whitehorse,6652
Whittlesea,11629
Wodonga,2412
Wyndham,10782
Yarra,10712
Yarra Ranges,5847
Yarriambiack,342
